eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
1035731,安康旬阳锦绣家园-HLW-AKDI121TL,AKDI121TL-0,265147142,安康旬阳锦绣家园-HLW-AKDI121TL-0,lte,109.360277,32.836388,室分
1035731,安康旬阳锦绣家园-HLW-AKDI121TL,AKDI121TL-1,265147143,安康旬阳锦绣家园-HLW-AKDI121TL-1,lte,109.360277,32.836388,室分
1035156,安康旬阳开花-HLH-AKCO545TL,AKCO545TL-0,264999936,安康旬阳开花-HLH-AKCO545TL-0,lte,109.436666,32.897222,宏站
1035156,安康旬阳开花-HLH-AKCO545TL,AKCO545TL-1,264999937,安康旬阳开花-HLH-AKCO545TL-1,lte,109.436666,32.897222,宏站
1035156,安康旬阳开花-HLH-AKCO545TL,AKCO545TL-2,264999938,安康旬阳开花-HLH-AKCO545TL-2,lte,109.436666,32.897222,宏站
1035112,安康旬阳老公馆-HLH-AKCO501TL,AKCO501TL-0,264988672,安康旬阳老公馆-HLH-AKCO501TL-0,lte,109.382222,33.085277,宏站
1035112,安康旬阳老公馆-HLH-AKCO501TL,AKCO501TL-1,264988673,安康旬阳老公馆-HLH-AKCO501TL-1,lte,109.382222,33.085277,宏站
1035112,安康旬阳老公馆-HLH-AKCO501TL,AKCO501TL-2,264988674,安康旬阳老公馆-HLH-AKCO501TL-2,lte,109.382222,33.085277,宏站
1035277,安康旬阳老仙河-HLH-AKCO666TL,AKCO666TL-0,265030912,安康旬阳老仙河-HLH-AKCO666TL-0,lte,109.749444,32.961388,宏站
1035277,安康旬阳老仙河-HLH-AKCO666TL,AKCO666TL-1,265030913,安康旬阳老仙河-HLH-AKCO666TL-1,lte,109.749444,32.961388,宏站
1035277,安康旬阳老仙河-HLH-AKCO666TL,AKCO666TL-2,265030914,安康旬阳老仙河-HLH-AKCO666TL-2,lte,109.749444,32.961388,宏站
1035486,安康旬阳李家河-HLH-AKCO875TL,AKCO875TL-0,265084416,安康旬阳李家河-HLH-AKCO875TL-0,lte,109.413055,32.780833,宏站
1035486,安康旬阳李家河-HLH-AKCO875TL,AKCO875TL-1,265084417,安康旬阳李家河-HLH-AKCO875TL-1,lte,109.413055,32.780833,宏站
1035486,安康旬阳李家河-HLH-AKCO875TL,AKCO875TL-2,265084418,安康旬阳李家河-HLH-AKCO875TL-2,lte,109.413055,32.780833,宏站
